Constant,P_H,P_S,S_H,S_S,Temp(K),Testing_R2,Training_R2,log_Fuel(%),log_Oxidizer(%),log_P(atm)
100.8329,-19.0331,-6.3444,-1.3,2.5222,-42.0198,0.8806504914707458,0.9108311608883216,-0.1471,-0.3263,-1.0462
101.9287,-19.2782,-6.4261,-1.3099,2.5581,-42.4672,0.8880742809317828,0.9103908606966626,-0.1231,-0.3589,-1.0471
103.2296,-19.5865,-6.5288,-1.3345,2.5971,-43.044,0.8845954090346035,0.9113821642645981,-0.14,-0.3406,-1.0493
101.6179,-19.2028,-6.4009,-1.3094,2.5458,-42.3614,0.9056944593643323,0.9061778017198056,-0.1416,-0.3413,-1.0444
100.3304,-18.911,-6.3037,-1.2775,2.5131,-41.8128,0.8578316486707214,0.9158881709369592,-0.1177,-0.3539,-1.0396
102.4642,-19.4048,-6.4683,-1.3227,2.5728,-42.7471,0.9041211222574056,0.9068210585092108,-0.1545,-0.3293,-1.0438
100.1225,-18.8781,-6.2927,-1.2861,2.5033,-41.7171,0.9013637255650618,0.9057264303007828,-0.1444,-0.3309,-1.0385
101.0773,-19.0817,-6.3606,-1.2986,2.531,-42.1183,0.893185580594512,0.9085271259963056,-0.1351,-0.3487,-1.0431
102.6792,-19.4926,-6.4975,-1.3312,2.5832,-42.7798,0.8934192748882922,0.907910075675068,-0.1489,-0.3325,-1.0432
102.30799999999999,-19.3851,-6.4617,-1.3203,2.5707,-42.6311,0.9128216601379604,0.9046712729782036,-0.1365,-0.3467,-1.0442
101.731,-19.2294,-6.4098,-1.2999,2.5549,-42.4377,0.8818712709074013,0.9126111841673504,-0.1299,-0.3483,-1.0405
